Index,Research areas,Bio,Research interests,Achievements and awards,Full name
aaron-sloman,Mathematical physics; Robotics; Control theory; Systems theory; Human computer interface; Operating systems; Computer vision; Natural language processing; Cognitive science; Ethics; Linguistics; Causality; Geometry & topology; Number theory; ,"Aaron Sloman's first degree was in mathematics and physics; at CapeTown in 1956. A Rhodes Scholarship brought him to Oxford in 1957; where; after meeting philosophers with incorrect beliefs about mathematics; he switched and in 1962 completed a DPhil in philosophy of mathematics; defending Kant's view of mathematics. He taught philosophy at Hull then; from 1964; at Sussex University. In 1969 he was introduced to AI by Max Clowes; and decided that designing working AI systems was the best way to make progress in epistemology and philosophy of mind; language; mathematics; science etc. In 1971 he criticised the 1969 logicist AI manifesto by McCarthy and Hayes; and was invited to spend 1972-3 among AI researchers in Edinburgh; one of the few AI centres at the time; where he learnt about computer science; AI; cognitive science; started programming in earnest; and met leading researchers in AI; including international visitors.; Back at Sussex; he collaborated with Max Clowes; Margaret Boden and others; developing teaching and research in AI and computational cognitive science; and contributed to the Poplog AI development system; used for teaching and research in academe and industry. In 1978; he published The Computer Revolution in Philosophy: Philosophy science and models of mind (revised edition freely available online) He also helped to found the School of Cognitive and Computing Sciences (COGS). In 1991 he moved to Computer Science in Birmingham; helping to build up teaching and research in AI; including modelling of motivation and emotional architectures; and robotics. Retired in 2002; but continued full time research.; After encountering AI in 1969 Sloman suspected Kant's philosophy of mathematics could be defended using a design for a ""baby"" robot that could grow up to be a mathematician; like Archimedes; or Euclid; using mechanisms consistent with; but more precisely defined; than Kant's proposals. Nearly half a century later it's clear that nobody knows how to do that. An invitation to contribute to the Elsevier Turing Centenary Volume (https://goo.gl/9eN8Ks); including commenting on Turing's amazing Morphogenesis paper; led him to ask why Turing had written about chemical morphogenesis; and what he would have done had he lived several more decades.; The conjectured answer was a proposed multi-strand Meta-Morphogenesis (M-M) project on which Sloman has been working (unfunded) ever since; trying to understand how a physical universe can make it possible for biological evolution to produce the minds of ancient mathematicians (long before modern logic; algebra and cartesian representations of geometry); and other species with high levels of spatial intelligence; e.g. nest-building birds; squirrels; elephants and many others; abilities still completely lacking in current AI and unexplained by psychology and neuroscience (though often mis-described).; ""Meta-"" indicates that evolution's products repeatedly extend the powers of evolution; mainly through production of new construction-kits; all based on; but different from; the fundamental physical construction kit. Turing suggested in 1938 that mathematical discovery needs both intuition and ingenuity and suggested that Turing-machines can provide ingenuity (if suitably programmed) but not intuition. Sloman's research project will explore ways of modifying the Turing-Machine specification to fill the gap: a multi-membrane-Super-Turing machine; perhaps using sub-neural chemistry.; Sloman's 1962 thesis remains relevant; originally unpublished; but now freely available online; along with papers in philosophy of science; meta-ethics; semantics; philosophy of language; philosophy of information; philosophy of mathematics; philosophy of mind; vision (e.g. including functions of biological vision); affective phenomena - emotions; moods; etc. (topics seriously misconstrued by AI modellers and others); consciousness; evolution; epigenomics (jointly with Jackie Chappell) and programming.; His 1978 book (CRP); a progress report; made predictions about uses of computers that have recently come true; and discussed philosophical and psychological problems to be solved through (not yet achieved) developments in AI. The Epilogue disposed of the ""AI Singularity"" problem (still not on the horizon; despite misinformed dire predictions!). The Poplog development system; to which he contributed ideas; code; documentation and management; eventually became a successful commercial product; winning a UK ""Smart"" award for $5Million sales: now a free; open source system; including the Birmingham SimAgent toolkit.; CRP and work on Poplog led to invitations and collaborations; including a two year professorial fellowship from GEC. He was elected a fellow of AAAI; then a fellow of AISB; and a fellow of ECAI (Now EURAI). In 2008 Sussex University awarded him an honorary DSc. Since starting the Turing-inspired Meta-Morphogenesis project in 2012; working alone; and unfunded; he has received international conference/workshop invitations; has given tutorials (e.g. Edinburgh ESSENCE school; IJCAI 2016; the PACS Symposium Seoul 2016; Diagrams 2018) and published progress reports on the project. There remain huge problems. Deep learning won't help. Perhaps chemistry will??; ","After encountering AI in 1969 Sloman suspected Kant's philosophy of mathematics could be defended using a design for a ""baby"" robot that could grow up to be a mathematician; like Archimedes; or Euclid; using mechanisms consistent with; but more precisely defined; than Kant's proposals. Nearly half a century later it's clear that nobody knows how to do that. An invitation to contribute to the Elsevier Turing Centenary Volume (https://goo.gl/9eN8Ks); including commenting on Turing's amazing Morphogenesis paper; led him to ask why Turing had written about chemical morphogenesis; and what he would have done had he lived several more decades.; The conjectured answer was a proposed multi-strand Meta-Morphogenesis (M-M) project on which Sloman has been working (unfunded) ever since; trying to understand how a physical universe can make it possible for biological evolution to produce the minds of ancient mathematicians (long before modern logic; algebra and cartesian representations of geometry); and other species with high levels of spatial intelligence; e.g. nest-building birds; squirrels; elephants and many others; abilities still completely lacking in current AI and unexplained by psychology and neuroscience (though often mis-described).; ""Meta-"" indicates that evolution's products repeatedly extend the powers of evolution; mainly through production of new construction-kits; all based on; but different from; the fundamental physical construction kit. Turing suggested in 1938 that mathematical discovery needs both intuition and ingenuity and suggested that Turing-machines can provide ingenuity (if suitably programmed) but not intuition. Sloman's research project will explore ways of modifying the Turing-Machine specification to fill the gap: a multi-membrane-Super-Turing machine; perhaps using sub-neural chemistry.; ","Sloman's 1962 thesis remains relevant; originally unpublished; but now freely available online; along with papers in philosophy of science; meta-ethics; semantics; philosophy of language; philosophy of information; philosophy of mathematics; philosophy of mind; vision (e.g. including functions of biological vision); affective phenomena - emotions; moods; etc. (topics seriously misconstrued by AI modellers and others); consciousness; evolution; epigenomics (jointly with Jackie Chappell) and programming.; His 1978 book (CRP); a progress report; made predictions about uses of computers that have recently come true; and discussed philosophical and psychological problems to be solved through (not yet achieved) developments in AI. The Epilogue disposed of the ""AI Singularity"" problem (still not on the horizon; despite misinformed dire predictions!). The Poplog development system; to which he contributed ideas; code; documentation and management; eventually became a successful commercial product; winning a UK ""Smart"" award for $5Million sales: now a free; open source system; including the Birmingham SimAgent toolkit.; CRP and work on Poplog led to invitations and collaborations; including a two year professorial fellowship from GEC. He was elected a fellow of AAAI; then a fellow of AISB; and a fellow of ECAI (Now EURAI). In 2008 Sussex University awarded him an honorary DSc. Since starting the Turing-inspired Meta-Morphogenesis project in 2012; working alone; and unfunded; he has received international conference/workshop invitations; has given tutorials (e.g. Edinburgh ESSENCE school; IJCAI 2016; the PACS Symposium Seoul 2016; Diagrams 2018) and published progress reports on the project. There remain huge problems. Deep learning won't help. Perhaps chemistry will??; ",Professor Aaron Sloman 
adam-brentnall,Pattern recognition; Causality; Simulation; ,Dr Adam Brentnall is a statistician at the Centre for Cancer Prevention; Queen Mary University of London. Much of his research is focused on statistical modelling of cancer risk and related strategies for early detection and prevention. Methodological interests include standardization; accounting for unplanned crossover in clinical trials; and measures of model performance.; Dr Brentnall's research at Turing will include investigating ways to provide a better comprehensive cancer risk assessment than current models; by building on collaborative work in the area. Improvements are likely involve combining information from genetic factors; imaging; biomarkers and other risk factors. A major interest is to assess the potential for Artificial Intelligence or other algorithmic methods to improve risk assessment; particularly using imaging data. Methodological work to help better understand evidence supporting risk predictions or new treatments will also be undertaken.; ,Dr Brentnall's research at Turing will include investigating ways to provide a better comprehensive cancer risk assessment than current models; by building on collaborative work in the area. Improvements are likely involve combining information from genetic factors; imaging; biomarkers and other risk factors. A major interest is to assess the potential for Artificial Intelligence or other algorithmic methods to improve risk assessment; particularly using imaging data. Methodological work to help better understand evidence supporting risk predictions or new treatments will also be undertaken.; ,['N/A'],Dr Adam Brentnall 
adam-sanborn,Multi-agent reasoning; Neuroscience; Human computer interface; Cognitive science; Research methods; High dimensional inference; Monte Carlo methods; ,Adam Sanborn is Associate Professor of Psychology at the University of Warwick. He gained his PhD in psychological & brain sciences and cognitive science at Indiana University; and did his postdoctoral work at the Gatsby Computational Neuroscience Unit at UCL. Adam is interested in the rationality of human behaviour; which he studies with Bayesian models; approximations to Bayesian models; and behavioural experiments. His research has been published in leading psychology journals such as Psychological Review; Trends in Cognitive Sciences; and Cognitive Psychology; and he has won best paper awards in both psychology and computer science. He recently completed a three-year project funded by the ESRC and serves as Associate Editor for the Journal of Experimental Psychology: Learning; Memory; and Cognition.; Eliciting human beliefs in uncertain situations is a key challenge for data science and artificial intelligence; as people are often biased when expressing their subjective probabilities of events occurring. Many methods of elicitation have been developed by psychologists and statisticians that attempt to avoid these biases; but these methods do not scale well to eliciting multivariate beliefs. Adam's past work has adapted a sampling algorithm from computer science and statistics; Markov Chain Monte Carlo; to elicit people's multivariate beliefs by asking them to make a series of choices.; Adam has successfully applied this approach to a range of domains; such as eliciting what people believe different animals or facial expressions look like; or what people mean when they say they have had a good night's sleep. At the Turing; he plans to explore additional domains in economic data science in order to relate people's employment choices to their beliefs about the future. He also plans to develop new elicitation methods for efficiently combining human expertise with that of artificial intelligence.; ,Eliciting human beliefs in uncertain situations is a key challenge for data science and artificial intelligence; as people are often biased when expressing their subjective probabilities of events occurring. Many methods of elicitation have been developed by psychologists and statisticians that attempt to avoid these biases; but these methods do not scale well to eliciting multivariate beliefs. Adam's past work has adapted a sampling algorithm from computer science and statistics; Markov Chain Monte Carlo; to elicit people's multivariate beliefs by asking them to make a series of choices.; Adam has successfully applied this approach to a range of domains; such as eliciting what people believe different animals or facial expressions look like; or what people mean when they say they have had a good night's sleep. At the Turing; he plans to explore additional domains in economic data science in order to relate people's employment choices to their beliefs about the future. He also plans to develop new elicitation methods for efficiently combining human expertise with that of artificial intelligence.; ,['N/A'],Dr Adam Sanborn 
adam-tsakalidis,Natural language processing; Social media; ,"Adam is a PhD candidate in Urban Science with the Warwick Institute for the Science of Cities; supervised by Dr. Alexandra I. Cristea and Dr. Maria Liakata. His main research interests are in the areas of Social Media Mining and Natural Language Processing; with a primary focus on sentiment analysis from social media and their implications in real-world events.; Over 70% of the global population is expected to live in big cities by the next 30 years. At the same time; the use of social media is growing at tremendous rates. Motivated by these basic facts; Adam's work focuses on opinion mining of social media users; as an attempt to model and predict urban-related indices (e.g.; elections; wellbeing; etc.). The effective modelling of such domains is a challenging and important task; as it can provide additional ""sensors"" for informing citizens and policy makers on the current state of an urban environment; but also on possible consequences of their actions.; ","Over 70% of the global population is expected to live in big cities by the next 30 years. At the same time; the use of social media is growing at tremendous rates. Motivated by these basic facts; Adam's work focuses on opinion mining of social media users; as an attempt to model and predict urban-related indices (e.g.; elections; wellbeing; etc.). The effective modelling of such domains is a challenging and important task; as it can provide additional ""sensors"" for informing citizens and policy makers on the current state of an urban environment; but also on possible consequences of their actions.; ",['N/A'], Adam Tsakalidis 
adria-gascon,Cryptography (Algorithms); Cryptography (Privacy & trust); ,Adria Gascon is a computer scientist with research interests in formal languages and compression; automated reasoning; cryptography; and machine learning. He earned his PhD from the Technical University of Catalonia; and has held positions at SRI International and the University of Edinburgh.; Data is a valuable asset; as it is crucial to many decision making processes. In this paradigm; privacy is an important aspect of each component of a data analysis pipeline. Similarly to general security; privacy has proven to be a slippery concept; that requires a robust; mathematically rigorous approach.; Adria's research focus is on finding efficient solutions to the problem of computing on private data; that provide formal guarantees regarding information disclosure. This research touches on several areas of expertise and application domains; such as machine learning and statistics; cryptography; formal methods; databases; and systems security.; ,Data is a valuable asset; as it is crucial to many decision making processes. In this paradigm; privacy is an important aspect of each component of a data analysis pipeline. Similarly to general security; privacy has proven to be a slippery concept; that requires a robust; mathematically rigorous approach.; Adria's research focus is on finding efficient solutions to the problem of computing on private data; that provide formal guarantees regarding information disclosure. This research touches on several areas of expertise and application domains; such as machine learning and statistics; cryptography; formal methods; databases; and systems security.; ,['N/A'],Dr Adrià Gascón 
adrian-bevan,Neural networks; Deep learning; Modelling (Statistical methods & theory); ,"Dr Adrian Bevan is head of the Particle Physics Research Centre at Queen Mary University of London. He uses a variety of data science techniques for his day-to day research in order to learn about the sub-atomic nature of particles. His research interests include understanding the matter-antimatter asymmetry in the Universe and developing a deeper understanding of the Higgs boson. He also works on the development of semiconductor sensor devices for operation in novel experiments and the Large Hadron Collider at CERN.; Dr Adrian Bevan participates in Big Data-based experiments at international laboratories and specialises in parameter estimation through complex modelling and simulation of data; and has almost two decades of experience in this area. Having worked on experiments at international laboratories in Switzerland (CERN and PSI); the US (SLAC National Accelerator Laboratory) and Italy (Frascati) Many of the research topics of interest have significant amounts of background ""noise"" obscuring the signal and as a result Adrian has had to use machine learning techniques in order to identify signal for subsequent analysis. ; Dr Adrian Bevan has written a book on Statistical Data Analysis and edited a book on The Physics of the B Factories. ; ","Dr Adrian Bevan participates in Big Data-based experiments at international laboratories and specialises in parameter estimation through complex modelling and simulation of data; and has almost two decades of experience in this area. Having worked on experiments at international laboratories in Switzerland (CERN and PSI); the US (SLAC National Accelerator Laboratory) and Italy (Frascati) Many of the research topics of interest have significant amounts of background ""noise"" obscuring the signal and as a result Adrian has had to use machine learning techniques in order to identify signal for subsequent analysis. ; ",Dr Adrian Bevan has written a book on Statistical Data Analysis and edited a book on The Physics of the B Factories. ; ,Dr Adrian Bevan 
adriane-chapman,Data structures; Data science of government & politics; Privacy & trust; Identity management; Databases; ,Adriane Chapman is an Associate Professor in Electronics and Computer Science at the University of Southampton. She earned her PhD at the University of Michigan in 2008; and joined The MITRE Corporation; a non-profit Federally Funded Research and Development Company (FFRDC) that researched and applied solutions to technology problems in the US government. She joined the University of Southampton in 2016. She is Co-Director of the ECS Centre for Health Technologies; and is passionate about applying technology for society's benefit. She is currently working on the following projects: digital predictive technologies and conduits of algorithmic bias in policing and penal services; enabling personalized expression of privacy requirements. ; Adriane's research interests include provenance; data science pipelines; and dataset search. ; ,Adriane's research interests include provenance; data science pipelines; and dataset search. ; ,['N/A'],Dr Adriane Chapman 
aidan-osullivan,Multi-agent systems; Robotics; Neural networks; Neuroscience; Natural language processing; Pattern recognition; Reinforcement learning; Graph theory; Identity management; Uncertainty quantification; Probability; ,Aidan O'Sullivan is a lecturer at the UCL Energy Institute; University College London. He is course director for the MSc. in Energy Systems and Data Analytics and head of the Energy and Artificial Intelligence group. Prior to joining UCL he was awarded a PhD. from the department of Mathematics in Imperial College London in 2013 for his thesis on Bayesian statistics. He joined MIT as a postdoc in the Intelligent Transport Systems group where he worked on transport modelling problems using advanced artificial intelligence methods. He has been co-investigator on a number of large scale research projects; collaborations involving multiple universities; including the UK Research Council funded projects. 'System Aspects of Electric Commercial Aircraft (SAECA)'; project value £250;000; and 'Airport Capacity Consequences Leveraging Aviation Integrated Modelling (ACCLAIM)'; total project value £1;500;000.; His publications span a wide range of areas but with the common focus of how advanced data science and AI methodologies can be deployed in aerospace and the energy system for sustainability. Examples include the development of models for the global aviation system; the future of electric aircraft and the role of big data and AI in energy systems modelling His work has also been featured in a recent article on Artificial Intelligence in the Times Raconteur; 'How AI can help meet global energy demand'.; Aidan's research at the Turing will be focused on how artificial intelligence methods can be deployed to improve the efficiency of the energy system; from how electricity is generated to how the National grid is operated.; ,Aidan's research at the Turing will be focused on how artificial intelligence methods can be deployed to improve the efficiency of the energy system; from how electricity is generated to how the National grid is operated.; ,['N/A'],Dr Aidan O'Sullivan 
alain-zemkoho,Complexity (Algorithms); Numerical (Algorithms); Applied mathematics; Operations research; Neural networks; Machine learning; Applications (Machine learning); Deep learning; Reinforcement learning; Semi-supervised learning; Supervised learning; Unsupervised learning; Optimisation; Convex programming; Nonlinear programming; Time series; ,Alain is a Lecturer within the Southampton School of Mathematical Sciences; where he is affiliated to CORMSIS - Centre for Operational Research; Management Science & Information Systems and the Operational Research Group. Prior to joining the University of Southampton; he was a Research Fellow at the University of Birmingham and had previously worked as a Research Associate at the Technical University of Freiberg; where he also completed his PhD in Mathematics. He is Fellow of the Institute of Mathematics and its Applications; a Member of the EPSRC Mathematical Sciences Early Career Forum (2017 - 2019); a regular member of the Society for Industrial and Applied Mathematics (SIAM); the Mathematical Optimization Society (MOS); and The Operational Research Society. ; Alain's research interests are in continuous optimization; with special focus on bilevel optimization and its applications to transportation; data analysis; forecasting; and phase retrieval. He has developed optimality conditions and stability/sensitivity analysis results for such problems and is currently developing numerical algorithms that can capture the optimistic and pessimistic features of bilevel optimization problems.; ,Alain's research interests are in continuous optimization; with special focus on bilevel optimization and its applications to transportation; data analysis; forecasting; and phase retrieval. He has developed optimality conditions and stability/sensitivity analysis results for such problems and is currently developing numerical algorithms that can capture the optimistic and pessimistic features of bilevel optimization problems.; ,['N/A'],Dr Alain Zemkoho 
alan-brown,Privacy & trust; Software framework development; Data science of government & politics; ,Alan W. Brown is Professor in Digital Economy at the University of Exeter’s Business School and co-founder of the Initiative in Digital Economy at Exeter (INDEX). After receiving a PhD in Computational Science at the University of Newcastle-upon-Tyne; Alan spent almost 20 years in the USA in commercial high-tech companies leading R&D teams; building leading-edge solutions; and driving innovation in software product delivery. He then spent 5 years in Madrid leading enterprise strategy as European CTO for IBM’s Software group. Most recently Alan co-founded the Surrey Centre for the Digital Economy (CoDE) at the University of Surrey where he led research activities in 4 EPSRC-funded research projects.; The impact of Alan’s research is seen in his consulting activities where he advises several startups; and works with clients in the public and private sector including the UK National Audit Office; Centrica; SAP; Resonate; McLaren; and several UK Government agencies. Additionally; he has published 5 books and numerous papers on software engineering; systems design; and digital business transformation. ; Alan’s research is focused on agile approaches to business transformation; and the relationship between technology innovation and business innovation in today’s rapidly evolving digital economy. His current research projects involve the adoption of digital technology in business; the effect of digital disruption in emerging business models; and the development of new management strategies and practices for data-driven innovation.; ,Alan’s research is focused on agile approaches to business transformation; and the relationship between technology innovation and business innovation in today’s rapidly evolving digital economy. His current research projects involve the adoption of digital technology in business; the effect of digital disruption in emerging business models; and the development of new management strategies and practices for data-driven innovation.; ,['N/A'],Professor Alan Brown 
